Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Grcohrt,Number of Records,Pgrcohrt,Ret Nmf,Ret Pcf,Rrftcta,Rrftct,Rrftex,Stufacr,Ugentern,Unitid (Ef2013D),Unitid
6420,11320,,6690,11590,,7170,12070,,224,1,34,131,45,290,292,2,17,668,106883,106883
6974,17400,,7274,17700,,8444,18870,,410,1,57,182,49,374,377,3,21,721,106980,106980
8116,7541,,8404,7829,,9892,9317,,258,1,70,94,48,197,197,0,17,370,106999,106999
20270,26634,26634,20270,26634,26634,20270,26634,26634,1030,1,82,839,82,1019,1019,0,17,1260,107044,107044
13656,20812,18934,13656,20812,18934,19776,26932,25054,698,1,70,443,57,775,775,0,15,1002,107071,107071
41916,49830,52536,41916,49830,52536,41916,49830,52536,450,1,96,324,88,369,369,0,11,469,107080,107080
26384,29014,34776,26384,29014,34776,26384,29014,34776,303,1,42,262,82,318,318,0,15,721,107141,107141
8458,17787,,8938,18267,,13498,22827,,238,1,35,92,40,230,230,0,14,682,107318,107318
9732,21701,,10012,21981,,11412,23381,,223,1,43,132,57,233,233,0,13,524,107327,107327
7539,15694,,8115,16270,,9819,17974,,375,1,58,197,51,388,388,0,16,650,107460,107460
4921,9789,,4921,9789,,4921,9789,,,1,,68,31,222,227,5,5,,107488,107488
26270,32870,32610,26270,32870,32610,26270,32870,32610,393,1,86,277,76,363,363,0,12,459,107512,107512
6671,16257,,6671,16257,,9221,18807,,120,1,43,58,49,119,120,1,19,281,107521,107521
7814,15369,,7814,15369,,10166,17721,,218,1,22,135,54,251,251,0,18,983,107549,107549
29481,38715,36379,29481,38715,36379,29481,38715,36379,159,1,92,109,69,157,157,0,10,173,107558,107558
7635,13349,,7782,13496,,8559,14273,,467,1,55,226,55,413,414,1,19,845,107585,107585
18010,28340,24986,18010,28340,24986,18010,28340,24986,134,1,75,88,54,162,162,0,10,178,107600,107600
8725,13225,,9085,13585,,10405,14905,,198,1,56,108,56,194,194,0,12,356,107619,107619
7480,11980,,7480,11980,,9940,14440,,251,1,55,100,45,221,221,0,17,458,107637,107637
12280,19271,,12280,19271,,14020,21011,,1053,1,39,606,51,1177,1177,0,23,2711,107664,107664
9338,18025,,9488,18175,,11453,20140,,235,1,40,165,53,312,312,0,18,589,107725,107725
8817,16522,,9153,16858,,11673,19378,,137,1,35,82,55,148,148,0,17,389,107743,107743
6811,18205,,6811,18205,,6811,18205,,93,1,28,43,83,52,52,0,28,330,107840,107840
18174,24142,23886,18174,24142,23886,18174,24142,23886,154,1,61,77,59,131,131,0,13,253,107877,107877
10873,27133,,11161,27421,,12937,29197,,161,1,24,86,51,170,170,0,15,672,107974,107974
