Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Enrft,Enrpt,Enrtot,Number of Records,Unitid (Drvef2013),Unitid
25226,36386,37828,25226,36386,37828,25226,36386,37828,9038,6963,16001,1,108232,108232
22431,29926,,22431,29926,,22431,29926,,387,123,510,1,108250,108250
7273,18433,,7273,18433,,12385,23545,,716,5083,5799,1,108667,108667
7331,19154,,7331,19154,,12651,24474,,3395,7490,10885,1,108807,108807
37520,52460,,37520,52460,,37520,52460,,258,0,258,1,108852,108852
7080,17682,,7080,17682,,13176,23778,,7560,22141,29701,1,109208,109208
7421,16648,,7421,16648,,11981,21208,,4509,9753,14262,1,109350,109350
46972,60502,,46972,60502,,46972,60502,,1657,328,1985,1,109651,109651
38242,49404,45996,38242,49404,45996,38242,49404,45996,7783,2972,10755,1,109785,109785
6228,15404,,6228,15404,,11912,21088,,5615,12155,17770,1,109819,109819
6682,17805,,6682,17805,,10978,22101,,1172,2039,3211,1,109907,109907
13420,20220,,13420,20220,,13420,20220,,268,85,353,1,110060,110060
38127,49287,46624,38127,49287,46624,38127,49287,46624,5107,1194,6301,1,110097,110097
25976,33592,,25976,33592,,25976,33592,,405,113,518,1,110185,110185
16690,23466,,16690,23466,,16690,23466,,927,0,927,1,110219,110219
6838,17800,,6838,17800,,11638,22600,,5816,6347,12163,1,110246,110246
7793,19295,,7793,19295,,12133,23635,,4625,9041,13666,1,110334,110334
34106,45264,42228,34106,45264,42228,34106,45264,42228,5864,1280,7144,1,110361,110361
46234,55444,56134,46234,55444,56134,46234,55444,56134,1825,124,1949,1,110370,110370
47136,58296,58755,47136,58296,58755,47136,58296,58755,2181,0,2181,1,110404,110404
41755,52915,52577,41755,52915,52577,41755,52915,52577,3740,542,4282,1,110413,110413
13122,24285,24285,13122,24285,24285,24282,35445,35445,18775,928,19703,1,110422,110422
22705,34117,29986,22705,34117,29986,22705,34117,29986,2038,2163,4201,1,110468,110468
11397,22737,21186,11397,22737,21186,22557,33897,32346,7190,1181,8371,1,110486,110486
10883,22083,22433,10883,22083,22433,22043,33243,33593,7256,1661,8917,1,110495,110495
10537,21466,20377,10537,21466,20377,21697,32626,31537,15213,3185,18398,1,110510,110510
10289,21104,22571,10289,21104,22571,21449,32264,33731,18995,3506,22501,1,110529,110529
11154,22116,22362,11154,22116,22362,22314,33276,33522,14960,1396,16356,1,110538,110538
10536,22931,21286,10536,22931,21286,21696,34091,32446,9599,5071,14670,1,110547,110547
10515,21926,20682,10515,21926,20682,21675,33086,31842,19511,3549,23060,1,110556,110556
10809,23517,23505,10809,23517,23505,21969,34677,34665,29023,9302,38325,1,110565,110565
10702,22969,22312,10702,22969,22312,21862,34129,33472,11733,2793,14526,1,110574,110574
10860,22686,22106,10860,22686,22106,22020,33846,33266,28440,7146,35586,1,110583,110583
10961,23678,21705,10961,23678,21705,22121,34838,32865,18104,5154,23258,1,110592,110592
11145,23863,21669,11145,23863,21669,22305,35023,32829,30423,7887,38310,1,110608,110608
11120,23168,23209,11120,23168,23209,22280,34328,34369,22735,6076,28811,1,110617,110617
24091,28859,33319,24091,28859,33319,46969,51737,56197,34675,1523,36198,1,110635,110635
25266,28427,33066,25266,28427,33066,48144,51305,55944,31986,1321,33307,1,110644,110644
24078,29548,30504,24078,29548,30504,46956,52426,53382,28046,849,28895,1,110653,110653
23750,29299,32416,23750,29299,32416,46628,52177,55294,39794,1001,40795,1,110662,110662
23793,28395,32238,23793,28395,32238,46671,51273,55116,20653,554,21207,1,110671,110671
24197,29475,30470,24197,29475,30470,47075,52353,53348,28606,911,29517,1,110680,110680
25591,30398,34051,25591,30398,34051,48469,53276,56929,21771,454,22225,1,110705,110705
24661,29891,33153,24661,29891,33153,47539,52769,56031,16755,448,17203,1,110714,110714
13415,24405,17775,13415,24405,17775,13415,24405,17775,18,12,30,1,110918,110918
24832,31648,,24832,31648,,24832,31648,,280,0,280,1,110945,110945
17209,23873,,17209,23873,,17209,23873,,489,0,489,1,111009,111009
49321,59860,58296,49321,59860,58296,49321,59860,58296,1472,17,1489,1,111081,111081
,,21102,,,21102,,,32262,1008,37,1045,1,111188,111188
7257,18102,,7257,18102,,14333,25178,,1202,5418,6620,1,111434,111434
7139,18299,,7139,18299,,11435,22595,,6446,12062,18508,1,111461,111461
,,,,,,,,,606,0,606,1,111638,111638
7332,18492,,7332,18492,,13100,24260,,6958,14446,21404,1,111887,111887
6194,15370,,6194,15370,,11878,21054,,944,3579,4523,1,111896,111896
7245,18283,,7245,18283,,13077,24115,,3939,9203,13142,1,111920,111920
7139,18301,,7139,18301,,12131,23293,,5664,13547,19211,1,111939,111939
49113,59413,59459,49113,59413,59459,49113,59413,59459,7071,821,7892,1,111948,111948
18181,29500,,18181,29500,,18181,29500,,390,125,515,1,111966,111966
35610,46750,43550,35610,46750,43550,35610,46750,43550,3345,701,4046,1,112075,112075
32074,43234,40252,32074,43234,40252,32074,43234,40252,817,97,914,1,112084,112084
7114,14395,,7114,14395,,11026,18307,,4931,7989,12920,1,112172,112172
7259,18275,,7259,18275,,12733,23749,,9198,17508,26706,1,112190,112190
,,62010,,,62010,,,62010,1324,4,1328,1,112260,112260
7973,21160,,7973,21160,,12125,25312,,1476,8902,10378,1,112385,112385
22145,33305,31860,22145,33305,31860,22145,33305,31860,322,150,472,1,112394,112394
23296,30649,,23296,30649,,23296,30649,,734,99,833,1,112446,112446
