Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Number of Records,Unitid
7127,18287,,7127,18287,,11687,22847,,1,122384
11300,22728,25068,11300,22728,25068,22460,33888,36228,1,122409
47377,58537,58189,47377,58537,58189,47377,58537,58189,1,122436
44246,58792,57932,44246,58792,57932,44246,58792,57932,1,122454
42430,54430,,42430,54430,,42430,54430,,1,122506
11072,23828,23828,11072,23828,23828,22232,34988,34988,1,122597
44944,58384,58384,44944,58384,58384,44944,58384,58384,1,122612
7046,17890,,7046,17890,,12374,23218,,1,122658
19931,28614,,19931,28614,,19931,28614,,1,122685
19817,28500,,19817,28500,,19817,28500,,1,122694
30025,41185,38447,30025,41185,38447,30025,41185,38447,1,122728
12214,18874,,12214,18874,,17836,24496,,1,122746
11964,24682,23629,11964,24682,23629,23124,35842,34789,1,122755
7214,18293,,7214,18293,,11946,23025,,1,122791
16360,26376,,16360,26376,,16360,26376,,1,122834
27653,33021,,27653,33021,,27653,33021,,1,122843
16360,26376,,16360,26376,,16360,26376,,1,122852
6169,16954,,6169,16954,,12049,22834,,1,122889
48141,59301,59589,48141,59301,59589,48141,59301,59589,1,122931
7058,18614,,7094,18650,,13514,25070,,1,122977
7265,18425,,7265,18425,,12584,23744,,1,123013
,,61370,,,61370,,,61370,1,123165
5462,14462,,5462,14462,,10022,19022,,1,123217
17700,32200,22700,17700,32200,22700,17700,32200,22700,1,123280
6683,15983,11383,6683,15983,11383,11723,21023,16423,1,123299
7774,20338,13390,7774,20338,13390,12814,25378,18430,1,123341
16688,31125,,16688,31125,,16688,31125,,1,123396
32816,38720,35324,32816,38720,35324,32816,38720,35324,1,123457
5356,15056,14056,5356,15056,14056,10876,20576,19576,1,123484
7729,18487,,7729,18487,,7729,18487,,1,123509
10415,14310,,10415,14310,,13597,17492,,1,123527
45830,56990,58365,45830,56990,58365,45830,56990,58365,1,123554
7722,18882,,7722,18882,,13692,24852,,1,123563
11854,24572,23295,11854,24572,23295,23014,35732,34455,1,123572
39830,46490,43076,39830,46490,43076,39830,46490,43076,1,123651
,,,,,,,,,1,123679
7319,18479,,7319,18479,,11351,22511,,1,123800
55730,70202,,55730,70202,,55730,70202,,1,123952
51338,62180,62180,51338,62180,62180,51338,62180,62180,1,123961
7365,18525,11083,7365,18525,11083,13155,24315,16873,1,124113
28864,40024,35716,28864,40024,35716,28864,40024,35716,1,124292
13536,25416,,13536,25416,,13536,25416,,1,124487
,,,,,,,,,1,124706
,,,,,,,,,1,124937
7373,18533,,7373,18533,,13035,24195,,1,125028
7099,18259,,7099,18259,,10429,21589,,1,125091
7273,18433,,7273,18433,,12385,23545,,1,125170
17160,30930,,17160,30930,,17160,30930,,1,125231
7311,18156,14109,7311,18156,14109,14421,25266,21219,1,125462
7206,18366,,7206,18366,,12146,23306,,1,125471
7805,19073,,7805,19073,,12701,23969,,1,125499
,,,,,,,,,1,125532
42910,50960,53670,42910,50960,53670,42910,50960,53670,1,125727
42346,49200,53700,42346,49200,53700,42346,49200,53700,1,125763
39300,50519,48512,39300,50519,48512,39300,50519,48512,1,125897
,,24850,,,24850,,,24850,1,126076
7129,18289,,7129,18289,,12169,23329,,1,126119
11265,20391,19691,11265,20391,19691,21897,31023,30323,1,126182
8008,17134,,8929,18055,,16597,25723,,1,126207
9483,18339,,9483,18339,,18381,27237,,1,126289
16428,25473,,16428,25473,,16428,25473,,1,126359
17862,26934,,17862,26934,,17862,26934,,1,126401
14431,24799,24555,14431,24799,24555,28555,38923,38679,1,126562
11494,20724,20424,11494,20724,20424,22907,32137,31837,1,126580
22881,27981,,22881,27981,,22881,27981,,1,126605
16485,25609,28887,16485,25609,28887,38253,47377,50655,1,126614
28041,36951,38130,28041,36951,38130,28041,36951,38130,1,126669
46488,,57400,46488,,57400,46488,,57400,1,126678
,,,,,,,,,1,126687
27316,30820,34351,27316,30820,34351,27316,30820,34351,1,126702
3894,13738,13038,4830,14674,13974,9726,19570,18870,1,126711
9791,18917,16255,9791,18917,16255,12159,21285,18623,1,126748
20485,29577,30603,20485,29577,30603,36415,45507,46533,1,126775
12427,21409,23203,12427,21409,23203,28280,37262,39056,1,126818
15576,24558,,15576,24558,,15576,24558,,1,126827
8030,17156,,8030,17156,,16425,25551,,1,126863
23563,30379,,23563,30379,,23563,30379,,1,126872
13093,24728,,13093,24728,,13093,24728,,1,126924
9754,18880,,9754,18880,,18653,27779,,1,126942
24180,28940,,24180,28940,,24180,28940,,1,127024
43821,54901,56077,43821,54901,56077,43821,54901,56077,1,127060
12583,21467,22393,12583,21467,22393,23423,32307,33233,1,127185
14042,18848,,14042,18848,,22952,27758,,1,127200
9741,18877,15777,9741,18877,15777,18640,27776,24676,1,127389
11001,19729,19729,11001,19729,19729,21024,29752,29752,1,127556
14194,19000,,14194,19000,,26287,31093,,1,127565
9803,18848,,9803,18848,,18702,27747,,1,127617
34690,43820,43620,34690,43820,43620,34690,43820,43620,1,127653
15678,21186,,15678,21186,,15678,21186,,1,127680
15678,21186,,15678,21186,,15678,21186,,1,127699
15500,26700,,15500,26700,,15500,26700,,1,127714
9890,19089,16224,9890,19089,16224,16434,25633,22768,1,127732
11668,21602,20264,11668,21602,20264,23207,33141,31803,1,127741
14516,19232,16116,14516,19232,16116,17635,22351,19235,1,127778
20575,29647,,20575,29647,,20575,29647,,1,127787
9798,18780,,9798,18780,,18697,27679,,1,127820
9908,17764,,9908,17764,,18754,26610,,1,127884
9791,18917,,9791,18917,,18690,27816,,1,127909
36802,46326,46326,36802,46326,46326,36802,46326,46326,1,127918
28395,36507,,28395,36507,,28395,36507,,1,127945
,,,,,,,,,1,127954
11938,21064,20938,11938,21064,20938,22260,31386,31260,1,128106
7752,16230,,7752,16230,,10032,18510,,1,128151
10734,19860,16770,10734,19860,16770,13852,22978,19888,1,128258
,,,,,,,,,1,128328
11109,20235,20045,11109,20235,20045,21050,30176,29986,1,128391
,,20800,,,20800,,,20800,1,128425
35518,47086,47302,35518,47086,47302,35518,47086,47302,1,128498
7884,19442,,7884,19442,,15416,26974,,1,128577
,,14100,,,14100,,,14100,1,128586
26420,34720,35020,26420,34720,35020,26420,34720,35020,1,128683
20861,27761,,20861,27761,,20861,27761,,1,128726
38661,49335,50043,38661,49335,50043,38661,49335,50043,1,128744
14261,23197,23197,14261,23197,23197,25766,34702,34702,1,128771
48085,57129,60780,48085,57129,60780,48085,57129,60780,1,128902
22632,35637,,22632,35637,,22632,35637,,1,129002
15472,27244,27244,15472,27244,27244,34420,46192,46192,1,129020
26476,37838,,26476,37838,,26476,37838,,1,129154
15476,24644,24394,15476,24644,24394,26981,36149,35899,1,129215
46470,58310,58730,46470,58310,58730,46470,58310,58730,1,129242
